@reading|Food culture shock|SB pp. 65–67; TB pp. 38–39
eat with your fingers|ăn bằng tay
rice and curry|cơm và cà ri
form a ball|nặn thành một viên tròn
daal|món cà ri đậu lăng
lentil curry|cà ri đậu lăng
fingertips|đầu ngón tay
the palm of your hand|lòng bàn tay
thumb|ngón tay cái
pop it into your mouth|bỏ nhanh nó vào miệng
attempts|những lần thử
a disaster|một thảm họa; một lần thất bại hoàn toàn
the Indian subcontinent|tiểu lục địa Ấn Độ
colleagues|đồng nghiệp
repeat the offer|nhắc lại lời mời
be polite|lịch sự
end up with nothing|rốt cuộc chẳng có gì
get used to|quen với
travel abroad|đi nước ngoài
fast food culture|văn hóa đồ ăn nhanh
live on junk food|sống chủ yếu bằng đồ ăn ít giá trị dinh dưỡng
grab a sandwich|ăn vội một chiếc bánh mì kẹp
cook fresh food|nấu thức ăn tươi
eat as a family|ăn cùng cả gia đình
grow their own vegetables|tự trồng rau để ăn
keep chickens|nuôi gà
identity|bản sắc; đặc điểm nhận dạng
contain chemicals|chứa hóa chất
goodness knows what else|có trời mới biết còn gì khác nữa
a fizzy drink|đồ uống có ga
vegetarian|người ăn chay; thuộc chế độ ăn chay
vegetarianism|chế độ; quan niệm ăn chay
vegans|người ăn thuần chay
for ethical reasons|vì lý do đạo đức
equate to prosperity|tương đương với sự sung túc
go out for a meal|ra ngoài ăn một bữa
alien to them|xa lạ với họ
vegetarian products|sản phẩm dành cho người ăn chay
food culture shock|sốc văn hóa trong ăn uống
cereal|ngũ cốc ăn sáng
toast|bánh mì nướng
yoghurt|sữa chua
steamed vegetables|rau hấp
can't face them at breakfast|không thể nghĩ đến việc ăn chúng vào bữa sáng
@reading|Food TV: education or entertainment?|SB pp. 68–69; TB p. 39
cookery shows|các chương trình dạy nấu ăn
viewers|khán giả truyền hình
complain to|phàn nàn với
channels|các kênh truyền hình
begin her career|bắt đầu sự nghiệp của cô ấy
sophisticated French cuisine|ẩm thực Pháp cầu kỳ, tinh tế
publish a collection|xuất bản một tuyển tập
recipes|các công thức nấu ăn
ordinary housewives|những bà nội trợ bình thường
an instant success|thành công ngay lập tức
humour|sự hài hước
strong personality|cá tính mạnh mẽ
win her great fame|đem lại danh tiếng lớn cho cô ấy
have a bad temper|có tính nóng nảy
use foul language|dùng lời lẽ tục tĩu
shout at his staff|quát mắng nhân viên của anh ấy
