@reading|Unusual sports|SB pp. 107–109; TB pp. 56–57
be tired of|chán; mệt mỏi với
be fed up with|chán ngấy
be bored of|cảm thấy chán
existing sports|các môn thể thao hiện có
a local element|một yếu tố mang tính địa phương
an inflatable pitch|sân chơi bơm hơi
trampoline|bạt nhún
martial arts|võ thuật
horse riding|cưỡi ngựa
national sport|môn thể thao quốc gia
on horseback|trên lưng ngựa
get hold of|nắm lấy; bắt được
spread throughout the world|lan rộng khắp thế giới
write down the rules|ghi lại các luật chơi
Olympic status|tư cách môn thi đấu Olympic
tag|chạm vào người chơi khác để bắt trong trò đuổi bắt
raider|người tấn công sang phần sân đối phương trong kabaddi
their own half of the field|phần sân của đội mình
get caught|bị bắt
chant|hô lặp đi lặp lại
equipment|trang thiết bị
brains and brawn|trí tuệ và sức mạnh cơ bắp
a round of chess|một hiệp đấu cờ
a round of boxing|một hiệp quyền anh
world championship|giải vô địch thế giới
take place|diễn ra
particularly|đặc biệt là
switch quickly between|chuyển nhanh qua lại giữa
be familiar to|quen thuộc với
spread gradually|lan rộng dần
rock-paper-scissors|trò oẳn tù tì
take it seriously|coi đó là việc nghiêm túc
a league|một liên đoàn; giải đấu
hold championships|tổ chức các giải vô địch
@reading|Parkour and freerunning|SB pp. 110–111; TB p. 57
military obstacle course training|huấn luyện vượt chướng ngại vật trong quân đội
get from one point to another|di chuyển từ điểm này đến điểm khác
express yourself|thể hiện bản thân
no limits on|không có giới hạn đối với
swinging|đu người
rolling|lăn người
movement|sự chuyển động; động tác
philosophy|triết lý
obstacles|các chướng ngại vật
traceurs|những người tập parkour
be made up of|bao gồm
documentaries|phim tài liệu
strict rules|các quy tắc nghiêm ngặt
arrive on time|đến đúng giờ
make excuses|viện cớ
value humility|coi trọng sự khiêm tốn
show off|khoe khoang; phô trương
compete with|thi đấu; cạnh tranh với
a state of mind|một trạng thái tinh thần
mental and physical barriers|các rào cản tinh thần và thể chất
interact with|tương tác với
a competitive sport|một môn thể thao có tính thi đấu
be concerned with|liên quan đến; chú trọng vào
self-development|sự phát triển bản thân
adapt to any environment|thích nghi với mọi môi trường
be creative|có tính sáng tạo
freedom and self-expression|sự tự do và việc thể hiện bản thân
founder|người sáng lập
refuse to teach|từ chối dạy
the whole point|điều cốt yếu
technique|kỹ thuật
