@reading|Becoming famous through the internet|SB pp. 126–129; TB pp. 64–65
talent|tài năng
play an instrument|chơi một nhạc cụ
webcam|máy quay dùng cho máy tính
internet connection|kết nối internet
creativity|sự sáng tạo
hair and makeup|tạo kiểu tóc và trang điểm
comedy|hài kịch; nội dung hài
news and current affairs|tin tức và các vấn đề thời sự
raise money for a charity|quyên góp tiền cho một tổ chức từ thiện
specialist|chuyên biệt; chuyên môn
keep tropical fish|nuôi cá nhiệt đới
particular to one country|chỉ riêng ở một quốc gia
upload short films|tải các đoạn phim ngắn lên
release a video|phát hành một video
present tips and advice|đưa ra các mẹo và lời khuyên
how-to guides|các bài hướng dẫn cách làm
view adverts|xem quảng cáo
platform|nền tảng
earn money|kiếm tiền
original|độc đáo; có tính sáng tạo
achieve fame|trở nên nổi tiếng
last|kéo dài; tồn tại lâu
communicate through short messages|giao tiếp bằng tin nhắn ngắn
entertaining content|nội dung giải trí hấp dẫn
put up photos|đăng ảnh lên
photographer|nhiếp ảnh gia
create your own blog|tạo blog riêng
be aware of|nhận biết; nắm được
topics and issues|các chủ đề và vấn đề
trending|đang được nhiều người quan tâm
short extracts from videos|các đoạn trích ngắn từ video
photo editing|chỉnh sửa ảnh
imagination|trí tưởng tượng
dream of|mơ ước về
at least|ít nhất
have their photo taken|được chụp ảnh
have a chat|trò chuyện
@reading|Famous animals: Hachiko, Knut and Elsa|SB pp. 130–131; TB p. 65
personality and talents|tính cách và tài năng
rescue people|cứu người
play a role in a war|đóng vai trò trong một cuộc chiến
loyalty to his owner|lòng trung thành với chủ
professor|giáo sư
die suddenly|qua đời đột ngột
faithful dog|chú chó trung thành
station staff|nhân viên nhà ga
food and treats|thức ăn và đồ thưởng cho động vật
a ceremony|một buổi lễ
commemorate|tưởng niệm
polar bear|gấu Bắc Cực
be rejected by his mother|bị mẹ bỏ rơi
be raised by zookeepers|được nhân viên vườn thú nuôi dưỡng
popular with the public|được công chúng yêu thích
attendance|lượng người đến tham quan
revenue|doanh thu
substantial amounts of money|những khoản tiền đáng kể
be handled by humans|được con người trực tiếp bế, chạm hoặc chăm sóc
human contact|sự tiếp xúc với con người
die of a virus|chết vì nhiễm vi-rút
lioness|sư tử cái
game warden|nhân viên bảo vệ động vật hoang dã
defend himself|tự vệ
feel guilty|cảm thấy có lỗi
orphaned cubs|những con non mất mẹ
bring them up|nuôi chúng lớn
live in the wild|sống trong tự nhiên
foster parents|cha mẹ nuôi
be made into a film|được chuyển thể thành phim
star in a film|đóng vai chính trong phim
foundation|quỹ; tổ chức
protect wildlife|bảo vệ động vật hoang dã
improve conditions|cải thiện điều kiện
zoos and circuses|các vườn thú và rạp xiếc
hunting for sport|săn bắn để tiêu khiển
ivory|ngà voi
inspire us|truyền cảm hứng cho chúng ta
human celebrities|những người nổi tiếng
in their memory|để tưởng nhớ họ; chúng
benefit from that fame|hưởng lợi từ sự nổi tiếng đó
@listening|Rise to fame and attitudes to celebrity|SB scripts p. 186, tracks 59–60; TB p. 68
rise to fame|quá trình trở nên nổi tiếng
from a very early age|từ khi còn rất nhỏ
teach himself|tự học
musical instruments|các nhạc cụ
youngsters|người trẻ
put in the effort|bỏ công sức
master the drums|chơi trống thành thạo
trumpet|kèn trumpet
violin|đàn vi-ô-lông
gifted|có năng khiếu
take part in local competitions|tham gia các cuộc thi địa phương
come second|về nhì
post his performance|đăng phần trình diễn của anh ấy
attract fans|thu hút người hâm mộ
his big break|cơ hội lớn mở đường cho sự nghiệp của anh ấy
music executive|người quản lý cấp cao trong ngành âm nhạc
come across|tình cờ bắt gặp
by accident|một cách tình cờ
recognise talent|nhận ra tài năng
recording company|công ty thu âm
a worldwide hit|một sản phẩm rất thành công trên toàn thế giới
shoot to fame|nổi tiếng nhanh chóng
global superstar|siêu sao toàn cầu
be followed by journalists|bị các nhà báo bám theo
have a private life|có đời sống riêng tư
acceptable|có thể chấp nhận được
special treatment|sự đối đãi đặc biệt
queue|xếp hàng
private yacht|du thuyền riêng
mansions|những biệt thự lớn
@listening|Advice on becoming successful|SB scripts p. 186, track 61; TB p. 69
three decades|ba thập kỷ
a piece of advice|một lời khuyên
focus on being good at something|tập trung vào việc làm giỏi một lĩnh vực
learn from the experts|học từ các chuyên gia
area of interest|lĩnh vực quan tâm
observe carefully|quan sát kỹ
experiment|thử nghiệm
get yourself known|làm cho mọi người biết đến mình
make opportunities for yourself|tự tạo cơ hội cho mình
experience failure|trải qua thất bại
on the road to success|trên con đường đi đến thành công
countless times|vô số lần
reach their end goal|đạt mục tiêu cuối cùng
keep on trying|tiếp tục cố gắng
regardless|bất chấp những điều khác
@listening|Camcorder controls|SB scripts pp. 186–187, track 62; TB p. 69
film-making|việc làm phim
camcorder|máy quay video cầm tay
automatic functions|các chức năng tự động
a professional approach|cách tiếp cận chuyên nghiệp
manual functions|các chức năng điều chỉnh bằng tay
tutorial|bài hướng dẫn
focus control|bộ điều chỉnh lấy nét
focus ring|vòng lấy nét
lens|ống kính
anti-clockwise|ngược chiều kim đồng hồ
clockwise|theo chiều kim đồng hồ
a distant focus|điểm lấy nét ở xa
iris ring|vòng điều chỉnh khẩu độ
adjustable opening|lỗ mở có thể điều chỉnh
aperture|khẩu độ
let more light into the shot|cho thêm ánh sáng vào khuôn hình
zoom function|chức năng thu phóng
over-used|bị sử dụng quá mức
in moderation|ở mức vừa phải
perspective|góc nhìn
subject|đối tượng được quay hoặc chụp
tripod|chân máy ba chân
@listening|Making a short film|SB scripts p. 187, track 63; TB p. 70
bursting with great ideas|tràn đầy ý tưởng hay
come up with an idea|nghĩ ra một ý tưởng
suit the talents of the group|phù hợp với năng khiếu của nhóm
animation|phim hoạt hình; kỹ thuật hoạt hình
characters|các nhân vật
plot|cốt truyện
ambitious|tham vọng; đặt mục tiêu cao
complicated|phức tạp
basic concept|ý tưởng cơ bản
fill in the details|bổ sung chi tiết
keep a notebook|mang theo; giữ một cuốn sổ ghi chép
screenplay|kịch bản phim
a series of scenes|một chuỗi cảnh phim
script|kịch bản; lời thoại
the lines the actors will speak|những câu thoại diễn viên sẽ nói
camera movements|các chuyển động của máy quay
give directions to actors|đưa chỉ dẫn cho diễn viên
storyboard|bảng phân cảnh
comic-book version|phiên bản truyện tranh
speech balloons|bong bóng lời thoại
appoint a director|chọn một đạo diễn
a good communicator|người giao tiếp hiệu quả
the key link|mắt xích kết nối chính
have responsibility for|chịu trách nhiệm về
the creative side|khía cạnh sáng tạo
have the final say|có quyền quyết định cuối cùng
cast your film|tuyển diễn viên cho phim
rely on|dựa vào
advertise on social media|đăng quảng cáo trên mạng xã hội
spare a couple of hours|dành ra vài giờ
assign jobs|phân công công việc
director of photography|đạo diễn hình ảnh
operate the camera|vận hành máy quay
in charge of|phụ trách
costumes and props|trang phục và đạo cụ
hair and make-up|làm tóc và trang điểm
@speaking|Describing someone you admire|SB pp. 142–145, tracks 64–65; TB pp. 70–72
brave|dũng cảm
brilliant|xuất sắc
charming|duyên dáng; có sức hút
cruel|độc ác
experienced|có kinh nghiệm
expert|thành thạo; chuyên gia
generous|hào phóng
honest|trung thực
powerful|có quyền lực; có ảnh hưởng
professional|chuyên nghiệp
talented|có tài năng
computer programmer|lập trình viên máy tính
operating system|hệ điều hành
come out|được phát hành; ra mắt
be responsible for|chịu trách nhiệm về; là người tạo ra
at a price families can afford|với mức giá các gia đình có thể chi trả
self-made billionaire|tỷ phú tự gây dựng sự nghiệp
give money away to charity|tặng tiền cho hoạt động từ thiện
score goals from free kicks|ghi bàn từ các cú đá phạt
good looks|ngoại hình đẹp
adore|rất yêu mến; hâm mộ
be mad about football|mê bóng đá
hero|người hùng; thần tượng
in spite of his fame|bất chấp sự nổi tiếng của anh ấy
behave like a normal person|cư xử như một người bình thường
a car breaks down|xe bị hỏng
need a push|cần được đẩy giúp
charity work|hoạt động từ thiện
get millions of views|có hàng triệu lượt xem
@speaking|Useful celebrity-answer frames|Bổ sung theo mục tiêu SB pp. 142–145; TB pp. 70–72
The person I admire most is ...|Người tôi ngưỡng mộ nhất là ...|structure|The person I admire most is a local athlete.
He is best known for ...|Anh ấy nổi tiếng nhất nhờ ...|structure|He is best known for his achievements in swimming.
What I admire about her is ...|Điều tôi ngưỡng mộ ở cô ấy là ...|structure|What I admire about her is her determination.
Despite being famous, she ...|Mặc dù nổi tiếng, cô ấy ...|structure|Despite being famous, she treats people with respect.
Compared with the past, celebrities now ...|So với trước đây, người nổi tiếng hiện nay ...|structure|Compared with the past, celebrities now communicate more directly with fans.
set a good example|làm gương tốt|collocation
a positive role model|một tấm gương tích cực|collocation
remain down-to-earth|vẫn khiêm tốn và gần gũi|collocation
raise awareness of a cause|nâng cao nhận thức về một vấn đề xã hội|collocation
@writing|Fame, privacy and salaries|SB pp. 132–136; TB pp. 65–67
celebrity|người nổi tiếng
reporter|phóng viên
blogger|người viết blog
paparazzi|cánh săn ảnh người nổi tiếng
fortune|khối tài sản lớn
wealthy|giàu có
well-known|nổi tiếng
help good causes|hỗ trợ các hoạt động vì lợi ích cộng đồng
make a real difference|tạo ra thay đổi thực sự
tell lies about someone|nói dối; bịa chuyện về ai
be affected by the pressure|bị ảnh hưởng bởi áp lực
overwork|làm việc quá sức
in public view|trong tầm chú ý của công chúng
strict laws|các luật nghiêm ngặt
ban people from taking photographs|cấm mọi người chụp ảnh
have the right to a normal childhood|có quyền được có tuổi thơ bình thường
child stars|ngôi sao nhí
protect their privacy|bảo vệ sự riêng tư của họ
fame has a price|sự nổi tiếng có cái giá của nó
essential workers|người lao động làm các công việc thiết yếu
receive low salaries|nhận lương thấp
reach the top levels|đạt tới trình độ cao nhất
reward talent|tưởng thưởng tài năng
supply and demand|cung và cầu
create demand|tạo ra nhu cầu
opposing arguments|các lập luận phản đối
supporting evidence|bằng chứng hỗ trợ
avoid repetition|tránh lặp lại
@writing|Useful fame and media essay frames|Bổ sung theo mục tiêu SB pp. 132–136; TB pp. 65–67
One benefit of being well-known is ...|Một lợi ích của việc nổi tiếng là ...|structure|One benefit of being well-known is the ability to support good causes.
The main drawback is the loss of ...|Bất lợi chính là việc mất ...|structure|The main drawback is the loss of privacy.
This is particularly true when ...|Điều này đặc biệt đúng khi ...|structure|This is particularly true when children are involved.
It is often argued that ...; however, ...|Người ta thường lập luận rằng ...; tuy nhiên, ...|structure|It is often argued that fame justifies high salaries; however, essential work also deserves recognition.
I tend to agree that ...|Tôi có xu hướng đồng ý rằng ...|structure|I tend to agree that young celebrities need greater protection.
public interest|sự quan tâm của công chúng; lợi ích công cộng tùy ngữ cảnh|collocation
an invasion of privacy|sự xâm phạm đời tư|collocation
media attention|sự chú ý của truyền thông|collocation
@speaking|Connecting ideas about people|Bổ sung theo mục tiêu SB pp. 142–145; TB pp. 70–72
active|năng động; tích cực
someone who ...|một người mà ... (mệnh đề mô tả người)|structure|I admire someone who works hard and helps others.
someone whose ...|một người có ... (chỉ quan hệ sở hữu)|structure|She is someone whose work inspires me.
The reason why ... is that ...|Lý do ... là vì ...|structure|The reason why I admire her is that she never gives up.
... because ...|... bởi vì ...|structure|I admire him because he is generous.
..., but ...|..., nhưng ...|structure|She is famous, but she lives a simple life.
