@reading|Amazing homes: unusual accommodation|SB pp. 26–27; TB pp. 20–21
houseboat|nhà thuyền
guest house|nhà khách; nhà nghỉ nhỏ
terrace on the roof|sân hiên trên mái
close to nature|gần gũi với thiên nhiên
permanently|lâu dài; thường xuyên
see-through house|ngôi nhà trong suốt
walls of glass|những bức tường bằng kính
daylight|ánh sáng ban ngày
privacy|sự riêng tư
architect|kiến trúc sư
based on|dựa trên
early man|con người thời nguyên thủy
suit everyone|phù hợp với tất cả mọi người
surrounded by|được bao quanh bởi
natural world|thế giới tự nhiên
shipping containers|công-ten-nơ vận chuyển hàng
joined together|được ghép lại với nhau
eco-friendly|thân thiện với môi trường
guest rooms|phòng dành cho khách
utility rooms|phòng giặt và chứa thiết bị gia dụng
drive|lối xe vào nhà
refugee|người tị nạn
draw attention to|thu hút sự chú ý đến
housing shortage|tình trạng thiếu nhà ở
wooden structure|kết cấu bằng gỗ
on wheels|có bánh xe
locking door|cửa có khóa
turn it onto its side|xoay nó nằm nghiêng sang một bên
lie down|nằm xuống
uncomfortable|không thoải mái
igloo|nhà tuyết dạng vòm
reindeer skins|da tuần lộc
keep warm|giữ ấm
minus five degrees|âm năm độ
tree house|nhà trên cây
get away from|tạm rời xa; thoát khỏi
busy lives|cuộc sống bận rộn
centigrade|thuộc thang nhiệt độ Celsius (độ C)
@reading|Home from home: a warm welcome|SB p. 29; TB p. 21
feel at home|cảm thấy thoải mái như ở nhà
annoying|gây khó chịu
roast chicken|gà quay; gà nướng
seaweed|rong biển
drift in|thoảng vào; trôi vào
nearby beach|bãi biển gần đó
seagulls|chim hải âu
squawk|kêu quang quác
put your feet up|ngồi nghỉ ngơi, thư giãn
gaze into|nhìn chăm chú vào
log fire|lửa đốt bằng củi
school trip|chuyến đi do trường tổ chức
host families|các gia đình đón học sinh đến ở
nervous|lo lắng; hồi hộp
unfamiliar food|đồ ăn không quen thuộc
homesick|nhớ nhà
coach|xe khách đường dài
exchange partner|bạn ghép cặp trong chương trình trao đổi
step forward|bước lên phía trước
pleasant-looking|có vẻ ngoài dễ mến
hold out your hands|đưa tay ra
smile widely|cười tươi
welcoming|thân thiện, tạo cảm giác được chào đón
cosy|ấm cúng
look out onto|có tầm nhìn ra
sit on your lap|ngồi trong lòng bạn
bake in the oven|nướng trong lò
familiar|quen thuộc
comforting|mang lại cảm giác an tâm
clear a space|dọn một khoảng trống
a vase of fresh flowers|một bình hoa tươi
apple pie|bánh táo
welcome banner|băng-rôn chào mừng
front door|cửa chính
a warm welcome|sự chào đón nồng nhiệt
host|chủ nhà; người đón khách
a long journey by coach|chuyến đi dài bằng xe khách|collocation
importance|tầm quan trọng
@listening|Facilities and opening a bank account|SB scripts pp. 178–179, tracks 15–17; TB pp. 23–24
facilities|các tiện ích; cơ sở vật chất
swimming pool|bể bơi
squash courts|sân bóng quần
outdoor tennis courts|sân quần vợt ngoài trời
become a member|trở thành hội viên
yearly fee|phí hằng năm
make a note of|ghi lại
all one word|viết liền thành một từ
open a new account|mở tài khoản mới
basic account|tài khoản cơ bản
savings account|tài khoản tiết kiệm
complete your application online|hoàn thành đơn đăng ký trực tuyến
on screen|trên màn hình
personal details|thông tin cá nhân
