@reading|Globalisation of education|SB pp. 45–47; TB pp. 29–30
globalisation|toàn cầu hóa
affect|ảnh hưởng đến
aspects of our lives|các khía cạnh của cuộc sống
distance learning|học từ xa
attend a college|theo học một trường cao đẳng
blended learning|học kết hợp trực tiếp và trực tuyến
in a traditional way|theo cách truyền thống
via email|qua thư điện tử
lifelong learning|học tập suốt đời
working lives|quãng đời làm việc
retirement|thời kỳ nghỉ hưu
webinars|hội thảo trực tuyến
online seminars|các buổi chuyên đề trực tuyến
get a qualification|đạt được bằng cấp; chứng chỉ
give up work|ngừng làm việc
disrupt family life|làm xáo trộn cuộc sống gia đình
benefit from|hưởng lợi từ
degree programmes|các chương trình đào tạo cấp bằng
employers|người sử dụng lao động
a valuable opportunity|một cơ hội quý giá
internationally recognised degree|bằng cấp được quốc tế công nhận
at a much cheaper price|với chi phí thấp hơn nhiều
go abroad|ra nước ngoài
improve their chances of|nâng cao cơ hội của họ trong việc
world-class degrees|bằng cấp có chất lượng hàng đầu thế giới
access to ideas and knowledge|khả năng tiếp cận ý tưởng và kiến thức
international students|sinh viên quốc tế
enrich|làm phong phú thêm
developing countries|các nước đang phát triển
the elite|tầng lớp tinh hoa; nhóm giàu có, có đặc quyền
rural areas|vùng nông thôn
primary education|giáo dục tiểu học
reliable internet connections|kết nối internet ổn định
own a computer|sở hữu máy tính
westernisation|sự Tây phương hóa
local knowledge|tri thức địa phương
treat every culture with respect|tôn trọng mọi nền văn hóa
approaches|các cách tiếp cận
the flow of ideas and information|dòng trao đổi ý tưởng và thông tin
educational institutions|các cơ sở giáo dục
change their focus|thay đổi trọng tâm
overseas students|sinh viên nước ngoài
compete for|cạnh tranh để có được
strategies|các chiến lược
education fairs|các hội chợ giáo dục
publicity material|tài liệu quảng bá
advertisements|các quảng cáo
emphasis on|sự chú trọng vào
customer care|chăm sóc khách hàng
settle in|thích nghi với môi trường mới
academic culture|văn hóa học thuật
host country|nước sở tại
developed countries|các nước phát triển
leave ... behind|bỏ ... lại phía sau
@reading|Work-based learning|SB p. 48; TB p. 30
work-based learning|học tập gắn với công việc
a trend towards|xu hướng hướng tới
a closer connection|mối liên hệ chặt chẽ hơn
school leavers|học sinh vừa rời trường phổ thông
be well prepared|được chuẩn bị tốt
do well at work|làm việc tốt
apprenticeships|các chương trình học nghề qua thực hành
an expert|một chuyên gia; người thành thạo
trades|các nghề thủ công hoặc kỹ thuật
electricians|thợ điện
at all levels|ở mọi cấp độ
grammar schools|trường trung học tuyển sinh theo năng lực ở Anh
technical schools|trường kỹ thuật
work-based subjects|các môn học gắn với nghề nghiệp
in practice|trên thực tế
academic and non-academic|thiên về học thuật và không thiên về học thuật
produce good results|mang lại kết quả tốt
an equal system|một hệ thống công bằng
vocational qualifications|bằng cấp nghề
certificates|các chứng chỉ
practical skills|kỹ năng thực hành
quality training|đào tạo có chất lượng
practical experience|kinh nghiệm thực tế
specialised qualifications|bằng cấp chuyên biệt
partnerships|các quan hệ hợp tác
Masters|bậc thạc sĩ
doctorate level|bậc tiến sĩ
deliver a course online|giảng dạy khóa học trực tuyến
miss work|nghỉ làm; vắng mặt ở nơi làm việc
retired employees|những người lao động đã nghỉ hưu
tutors|người hướng dẫn học tập; gia sư
mentors|người cố vấn
coaches|người huấn luyện
fields such as nursing|các lĩnh vực như điều dưỡng
